Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Views,Area,Road,Road Width,Road Type,Amenities,Face
"6 Ropani Exceptionally Beautiful Bungalow For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,250000000.0,5,7,2.0,20,848,0-96-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Jacuzzi']",North East
"5 Anna New House For Sale At Bishalnagar, (1 Floor Underground) : House For Sale In Hadigaun, Kathmandu","Bishalnagar, Hadigaun, Kathmandu",Kathmandu,55000000.0,4,3,3.0,2,125,0-5-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Deck', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Parking', 'Electricity Backup', 'Internet', 'Kids Playground']",North East
"Brand New House For Sale At Bhangal, Budhanilkantha In 20 Feet Road. : House For Sale In Budhanilkantha, Kathmandu","Bhangal sangyukta buspark , budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,24000000.0,4,3,2.0,1,198,0-4-0-0 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",South East
"Fully Furnished Brand New Bungalow For Sale In Dhapasi, Kunwar Colony : House For Sale In Budhanilkantha, Kathmandu","Dhapasi, Kunwar Colony, Budhanilkantha, Kathmandu",Kathmandu,65000000.0,5,4,2.0,1,459,0-8-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",East
"14 Anna 5 Bhk Bungalow For Sale Mandikatar Height Near Hams Hospital : House For Sale In Mandikatar, Kathmandu","Mandikatar Height Near Hams Hospital, Mandikatar, Kathmandu",Kathmandu,60000000.0,5,4,2.0,2,756,0-14-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"House For Sale In Basundhara, Kathmandu","Basundhara, Shree Tol, Basundhara, Kathmandu",Kathmandu,36500000.0,4,3,2.0,1,359,0-5-0-0 Aana,15 Feet / Gravelled,15 Feet , Gravelled,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Electricity Backup', 'Water Supply', 'Internet']",South
"Attractive 11 Anna House For Sale At Dhumbarahi, Inside Ring Road. : House For Sale In Dhumbarahi, Kathmandu","Dhumbarahi, Inside Ring Road, Dhumbarahi, Kathmandu",Kathmandu,75000000.0,0,4,2.0,0,357,0-11-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'Electricity Backup', 'Water Supply', 'Internet']",South East
"Exclusive Semi Bungalow For Sale At Golfutar Chowk 30 Mtr From Highway : House For Sale In Golfutar, Kathmandu","Golfutar Chowk, 30 Meter From Highway, Golfutar, Kathmandu",Kathmandu,45000000.0,4,4,3.0,2,589,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Water Supply', 'Internet', 'Kids Playground']",East
"Classical Traditional Style Bungalow At Chabahil Mitrapark Inside Ringroad. : House For Sale In Chabahil, Kathmandu","Chabahil Inside Ring Road, MITRAPARK, Chabahil, Kathmandu",Kathmandu,50000000.0,4,4,2.0,2,473,0-4.5-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Intercom', 'Internet']",North
"4.75 Brand New Attractive House For Sale At Basundhara : House For Sale In Basundhara, Kathmandu","Basundhara, Shree Tol, Basundhara, Kathmandu",Kathmandu,35500000.0,4,3,3.0,1,151,0-4.75-0-0 Aana,15 Feet / Gravelled,15 Feet , Gravelled,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"5 BHK Attractive Semi Bungalow For Sale At Baniyatar, Tokha : House For Sale In Tokha, Kathmandu","Baniyatar, Tokha, Tokha, Kathmandu",Kathmandu,29500000.0,4,3,2.0,1,110,0-4-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet']",West
"8 Anna Bungalow For Sale At Maharajgunj Just Behind Australian Embassy : House For Sale In Maharajgunj, Kathmandu","Maharajgunj Just Behind Australian Embassy, Maharajgunj, Kathmandu",Kathmandu,55000000.0,4,3,2.0,3,253,0-8-0-0 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",North West
"2 Modern Bungalows For Sale At Greenland. : House For Sale In Tokha, Kathmandu","Greenland, Tokha, Kathmandu",Kathmandu,38500000.0,0,4,2.0,3,306,0-6.5/8-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"8.2 Anna Full Furnished Bungalow For Sale At Pasikot, Budhanilkantha : House For Sale In Pasikot, Kathmandu","Pasikot, Budhanilkantha, Highway bata 800 meter west., Pasikot, Kathmandu",Kathmandu,49500000.0,0,4,2.0,3,290,0-8.2--0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"Classical 17.3 Anna Bungalow For Sale At Sukedhara Chowk Inside Colony : House For Sale In Sukedhara, Kathmandu","Sukedhara Chowk , Colony Bhitra, Sukedhara, Kathmandu",Kathmandu,95000000.0,0,4,2.0,0,390,0-17.3-0- Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"7 Anna 4 BHK Bungalow For Sale In Siddhartha Colony, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Siddhartha Colony, Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,45000000.0,4,4,2.0,3,151,0-7-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"Magnificent 4 BHK 9 Anna Bungalow For Sale At Hepali Height, Golfutar. : House For Sale In Golfutar, Kathmandu","Hepali Height, Golfutar., Golfutar, Kathmandu",Kathmandu,55000000.0,4,4,2.0,3,232,0-9-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",South
"9 Anna Beautiful House For Sale At Maharajgunj In Above 20 Feet Road. : House For Sale In Maharajgunj, Kathmandu","Maharajgunj In Above 20 Feet Road., Maharajgunj, Kathmandu",Kathmandu,67500000.0,4,4,2.0,4,247,0-9-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",West
"South Facing 7 Anna Modern House For Sale At Samakhusi Chowk : House For Sale In Samakhusi, Kathmandu","Samakhusi Chowk, Samakhusi, Kathmandu",Kathmandu,55000000.0,5,4,2.0,2,295,0-7-0-0 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",West
"5 Anna Fully Furnished Bungalow For Sale At Hattigauda, Very Near Highway. : House For Sale In Hattigauda, Kathmandu","Hattigauda, Near Highway, Hattigauda, Kathmandu",Kathmandu,37500000.0,4,3,2.0,1,1600,0-5-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Internet', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup']",North East
"12 Anna House Opposite Rastra Bank At Baluwatar, Beside Subisu Office : House For Sale In Baluwatar, Kathmandu","Opposite Rastra Bank At Baluwatar, Beside Subisu Office, BLOCK 1, Baluwatar, Kathmandu",Kathmandu,105000000.0,6,5,3.0,3,309,0-12-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Intercom', 'Internet', 'Kids Playground']",North East
"6 Anna New House For Sale At Pasikot, 400 Meters From Main Highway : House For Sale In Budhanilkantha, Kathmandu","Pasikot, 400 Meters From Main Highway, Budhanilkantha, Kathmandu",Kathmandu,37000000.0,6,6,3.0,2,259,0-6-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",South
"Modern Bungalow For Sale At Rudreshwor Chowk, Budhanilkantha. 50 Meters From Main Highway. : House For Sale In Budhanilkantha, Kathmandu","Rudreshwor Chowk, 50 Meters From Main Highway., Budhanilkantha, Kathmandu",Kathmandu,63000000.0,5,4,2.0,2,534,0-10-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",North
"17 Anna 5 BHK New Bungalow Sale At Budhanilkantha Near Park Village : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha Near Park Village., Budhanilkantha, Kathmandu",Kathmandu,60000000.0,5,5,2.0,0,581,0-17-0- Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",South
"East Facing 5.5 Anna Brand New House For Sale At Baluwatar : House For Sale In Baluwatar, Kathmandu","Baluwatar, Baluwatar, Kathmandu",Kathmandu,60000000.0,7,4,4.0,4,448,0-5.5-0-0 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Cafeteria', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",South
"6 Anna 5 Bhk House For Sale At Budhanilkantha, 100 Mtrs From Main Road : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, 100 Mtrs From Main Road, Budhanilkantha, Kathmandu",Kathmandu,36000000.0,5,4,2.0,2,197,0-6-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Cafeteria', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",South
"12 Anna 6 BHK Fully Furnished Bungalow On Sale At Chapali : House For Sale In Chapali, Kathmandu","Location: Kathmandu > Chapali (Budhanilkantha), Chapali, Kathmandu",Kathmandu,57500000.0,4,4,2.0,4,118,0-12-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",North
"5.5 Anna New Family Bungalow For Sale At Hattigauda : House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,35500000.0,4,4,2.0,2,297,0-5.5-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"Magnificent New Bungalow For Sale At Budhanilkantha, Kathmandu : House For Sale In Budhanilkantha, Kathmandu","Park Village, Budhanilkantha, Kathmandu",Kathmandu,130000000.0,6,7,2.0,10,1500,1-10-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Gym', 'Garden', 'Frontyard', 'Modular Kitchen', 'Swimming Pool', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Electricity Backup', 'Water Supply', 'Internet', 'Kids Playground']",South
"12 Anna Fully Furnished Bungalow For Sale At Dhumbarahi, Pragati Tole : House For Sale In Dhumbarahi, Kathmandu","Pragati Tole, Dhumbarahi, Kathmandu",Kathmandu,70000000.0,5,7,2.0,3,702,0-12-0-0 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Wifi', 'Drainage', 'CCTV', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet']",West
"Marvelous 9 Anna Bungalow For Sale At Golfutar, Hepali Height. : House For Sale In Golfutar, Kathmandu","Golfutar, Hepali Height, Golfutar, Kathmandu",Kathmandu,47500000.0,5,4,2.0,3,1000,0-9-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"8 Anna Modern House For Sale In Basundhara In Sherchan Colony Height : House For Sale In Dhapasi, Kathmandu","Sherchan Colony, Dhapasi, Dhapasi, Kathmandu",Kathmandu,45000000.0,6,6,3.0,2,501,0-8-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Well', 'Water Supply', 'Electricity Backup', 'Internet']",East
"6 Bhk 20 Anna Bungalow For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","6 Bhk 20 Anna Bungalow For Sale At Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,150000000.0,6,6,2.0,4,537,0-20-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Cafeteria', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"House For Sale At Civil Homes : House For Sale In Balkhu, Kathmandu","Tinthana, Balkhu, Kathmandu",Kathmandu,23000000.0,3,2,3.0,3,580,0-4-5-0 Aana,20 Feet,20 Feet,,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'Water Tank', 'Internet', 'Parking', 'Store Room']",East
"PRIVATE HOME URGENTLY SELLING : House For Sale In Basbari, Kathmandu","Basnsbari Road, Basbari, Kathmandu",Kathmandu,115000000.0,4,4,3.0,4,650,18 Aana,13 Feet / Paved,13 Feet , Paved,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Deck', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Microwave', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'CCTV', 'Electricity Backup', 'Internet', 'Security Staff']",North
"Luxury Bungalow At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","na, Budhanilkantha, Kathmandu",Kathmandu,400000000.0,6,6,3.0,20,1300,4.9.0.0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Gym', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water']",West
"Flat For Rent In Dhapasi, Kathmandu","Tokha Rd, Dhapasi, Kathmandu",Kathmandu,15000.0,2,1,4.0,1,408,968sqft Sq. Feet,32 Feet / Blacktopped,32 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Gym', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine']",East
"Flat Vada/ Flat Rent : Apartment For Rent In Kausaltar, Bhaktapur","Tersatar, Kausaltar, Bhaktapur",Bhaktapur,16000.0,1,1,3.0,0,1000,20 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Frontyard', 'Garden', 'Wifi', 'Water Supply']",East
"House For Sale In Dhapasi, Kathmandu","Dhapasi, kathmandu, Dhapasi, Kathmandu",Kathmandu,35000000.0,2,3,3.5,0,568,0-11-0-0 Aana,20 Feet,20 Feet,,"['Lawn', 'Frontyard', 'Garden', 'Water Supply']",West
"MODERN HOUSE ON SALE!! : House For Sale In Jorpati, Kathmandu","Jambu Danda, Jorpati, Kathmandu",Kathmandu,21500000.0,4,3,3.0,1,547,2700 Sq. Feet,12 Feet / Blacktopped,12 Feet , Blacktopped,"['Lawn', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Kids Playground']",East
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000.0,6,4,2.5,1,2800,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",North
"Commercial Space For Rent : Office Space For Rent In Sorakhutte, Kathmandu","Nearby NCC Bank , Link Road, Sorakhutte, Kathmandu",Kathmandu,6000000.0,4,2,4.5,5,655,850 Sq. Feet,20 Meter / Blacktopped,20 Meter , Blacktopped,"['Lawn', 'Drainage', 'Parking']",South East
"Civil Homes House : House For Sale In Chandragiri, Kathmandu","Civil Homes, Chandragiri, Kathmandu",Kathmandu,35000000.0,0,0,2.0,2,290,0-5-2-3 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Balcony', 'Swimming Pool', 'Modular Kitchen']",East
"Fully-Furnished 3BHK At Grande Tower : Apartment For Rent In Tokha, Kathmandu","Grande Tower, Tokha, Kathmandu",Kathmandu,80000.0,3,2,4.0,1,1100,1514 Sq. Feet,0 Feet / Blacktopped,0 Feet , Blacktopped,"['Lawn', 'Balcony', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Lift', 'Parking', 'Security Staff', 'Store Room']",South
"House For Sale In Maligaon, Kathmandu","Maligaon, Maligaon, Kathmandu",Kathmandu,65000000.0,5,6,3.0,0,607,12 Aana,13 Feet,13 Feet,,"['Lawn', 'Balcony', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",East
"House For Sale In Mid Baneshwor, Kathmandu","Katyayani Temple, Mid Baneshwor, Kathmandu",Kathmandu,50000000.0,7,4,2.0,1,1500,0-7-0-0 Aana,10 Feet / Concrete,10 Feet , Concrete,"['Lawn', 'Balcony', 'Garden', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Solar Water', 'Water Well', 'Electricity Backup', 'Parking', 'Store Room']",East
"Luxurious And Spacious 4 Bhk Flat In A Posh Location At Sanepa : Flat For Rent In Sanepa, Lalitpur","Status Enclave Apartments, Sanepa, Sanepa, Lalitpur",Lalitpur,80000.0,4,3,3.0,1,742,1833 Sq. Feet,0 Feet,0 Feet,,"['Lawn', 'Balcony', 'Garden', 'Gym', 'Water Supply', 'Electricity Backup', 'Lift']",South
"Apartment For Rent In Jhamsikhel, Lalitpur","Jhamsikhel, Jhamsikhel, Lalitpur",Lalitpur,40000.0,2,1,12.0,1,912,683 Sq. Feet,0 Feet,0 Feet,,"['Lawn', 'Balcony', 'Garden', 'Gym', 'Swimming Pool', 'TV Cable', 'Drainage', 'Water Well', 'Internet', 'Parking', 'Security Staff', 'Store Room']",East
"Apartment For Rent In Bishal Nagar, Kathmandu","Bishal Nagar, Bishal Nagar, Kathmandu",Kathmandu,100000.0,2,2,9.0,1,719,1371 Sq. Feet,0 Feet,0 Feet,,"['Lawn', 'Balcony', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Water Supply', 'Water Well', 'Electricity Backup', 'Internet', 'Kids Playground', 'Lift', 'Maintenance', 'Parking', 'Security Staff', 'Jacuzzi']",East
